Token	freq	prob
trout	283	0.0201955327196175
fishing	162	0.011560693641618497
america	133	0.009491186755155926
richard	7	0.0004995361450082067
brautigan	2	0.00014272461285948763
cover	8	0.0005708984514379505
photograph	13	0.0009277099835866696
taken	8	0.0005708984514379505
late	8	0.0005708984514379505
afternoon	19	0.0013558838221651324
benjamin	15	0.001070434596446157
franklin	15	0.001070434596446157
statue	16	0.001141796902875901
san	28	0.0019981445800328268
francisco	23	0.0016413330478841075
washington	9	0.0006422607578676942
square	11	0.0007849853707271819
born	6	0.00042817383857846286
stands	2	0.00014272461285948763
pedestal	1	7.136230642974381e-05
looks	7	0.0004995361450082067
like	194	0.013844287447370299
house	24	0.0017126953543138515
containing	1	7.136230642974381e-05
stone	8	0.0005708984514379505
furniture	4	0.00028544922571897526
holds	1	7.136230642974381e-05
papers	3	0.00021408691928923143
hand	15	0.001070434596446157
hat	7	0.0004995361450082067
speaks	1	7.136230642974381e-05
saying	7	0.0004995361450082067
marble	8	0.0005708984514379505
presented	3	0.00021408691928923143
cogswell	1	7.136230642974381e-05
boys	6	0.00042817383857846286
girls	3	0.00021408691928923143
soon	8	0.0005708984514379505
places	5	0.00035681153214871903
pass	5	0.00035681153214871903
base	2	0.00014272461285948763
words	5	0.00035681153214871903
facing	2	0.00014272461285948763
directions	3	0.00021408691928923143
world	22	0.0015699707414543638
east	2	0.00014272461285948763
welcome	5	0.00035681153214871903
west	1	7.136230642974381e-05
north	7	0.0004995361450082067
south	4	0.00028544922571897526
poplar	2	0.00014272461285948763
trees	31	0.002212231499322058
leafless	1	7.136230642974381e-05
branches	3	0.00021408691928923143
middle	9	0.0006422607578676942
tree	30	0.002140869192892314
grass	14	0.0009990722900164134
wet	8	0.0005708984514379505
rains	1	7.136230642974381e-05
early	10	0.0007136230642974381
february	1	7.136230642974381e-05
background	2	0.00014272461285948763
tall	4	0.00028544922571897526
cypress	1	7.136230642974381e-05
dark	16	0.001141796902875901
room	31	0.002212231499322058
adlai	2	0.00014272461285948763
stevenson	2	0.00014272461285948763
spoke	2	0.00014272461285948763
crowd	1	7.136230642974381e-05
people	38	0.002711767644330265
church	8	0.0005708984514379505
street	21	0.00149860843502462
crosses	1	7.136230642974381e-05
steeples	1	7.136230642974381e-05
bells	1	7.136230642974381e-05
vast	1	7.136230642974381e-05
door	25	0.0017840576607435952
huge	20	0.0014272461285948761
mousehole	1	7.136230642974381e-05
tom	4	0.00028544922571897526
jerry	1	7.136230642974381e-05
cartoon	1	7.136230642974381e-05
written	16	0.001141796902875901
gather	4	0.00028544922571897526
park	8	0.0005708984514379505
hungry	1	7.136230642974381e-05
sandwich	5	0.00035681153214871903
time	60	0.004281738385784628
poor	6	0.00042817383857846286
cross	3	0.00021408691928923143
signal	2	0.00014272461285948763
given	3	0.00021408691928923143
